Site,Batch Completion Date,Batch Number,Tank Number,Cost Center,Technology,Product,Inventory Category,Equalization Lot Number,Parent Batch Planned Qty,Parent Batch Actual Qty,PA Time,Formulated CM Time,QC Adj CM Time,Tot. CM Time,80 appv.,Filling Time,90 appv.,Tot. Time
Cleveland,2019-12-26,76326,T714 B101,9,WBPRIMER,HMOP31004,1241,806044136,1200.0,1218.32,0 days 22:30:28.000000000,0 days 20:27:01.000000000,1 days 12:36:02.000000000,3 days 16:44:20.000000000,3 days 06:43:59.000000000,0 days 08:18:10.000000000,0 days 16:52:54.000000000,5 days 23:36:07.000000000
Cleveland,2020-02-10,78438,,9,WBPRIMER,HMOP31002,1241,806044912,3250.0,3300.8,1 days 16:42:29.000000000,0 days 05:43:24.000000000,0 days 11:08:06.000000000,3 days 00:25:52.000000000,3 days 06:21:25.000000000,3 days 04:33:07.000000000,0 days 11:55:48.000000000,9 days 08:43:22.000000000
Cleveland,2019-02-21,50609,T503 B24,6,CLEARCOAT,TMAC9000FR,1131,806027876,6400.0,6472.65,0 days 08:58:48.000000000,1 days 02:19:46.000000000,0 days 00:09:21.000000000,1 days 18:36:46.000000000,3 days 05:44:55.000000000,1 days 10:03:04.000000000,2 days 22:30:11.000000000,8 days 01:06:13.000000000
Cleveland,2019-06-28,62425,T138 B29,2,CLEARCOAT,HDCT7100A,1231,806035689,400.0,422.92,0 days 04:12:00.000000000,1 days 03:57:07.000000000,0 days 00:11:20.000000000,4 days 03:12:41.000000000,3 days 05:35:52.000000000,0 days 16:49:02.000000000,0 days 19:25:53.000000000,8 days 08:00:05.000000000
Cleveland,2019-06-04,61268,P31PW43,9,WATERBASE,HMOP62785,1241,806034828,300.0,305.95,0 days 01:51:32.000000000,0 days 05:54:29.000000000,1 days 04:08:45.000000000,3 days 00:02:32.000000000,3 days 05:12:36.000000000,0 days 04:16:18.000000000,1 days 00:59:29.000000000,5 days 10:50:32.000000000
Cleveland,2019-01-10,46200,P12PS10,7,SOLVENTBASE,NHB196281R,1121,806025107,100.0,106.34,0 days 03:52:39.000000000,0 days 05:30:27.000000000,1 days 06:40:23.000000000,2 days 01:24:14.000000000,3 days 05:10:24.000000000,1 days 23:32:56.000000000,0 days 06:37:53.000000000,10 days 21:50:36.000000000
Cleveland,2019-10-23,67139,T730 B101,9,WBPRIMER,OPP4652,1261,806038451,3000.0,3022.18,0 days 02:54:17.000000000,0 days 19:00:44.000000000,2 days 11:54:57.000000000,3 days 09:02:48.000000000,3 days 05:07:38.000000000,0 days 11:56:06.000000000,0 days 18:49:37.000000000,6 days 11:25:01.000000000
Cleveland,2019-03-08,50285,T832 B8,5,WATERBASE,HMDB301329,1241,806027617,3000.0,2999.58,0 days 04:23:20.000000000,0 days 22:27:06.000000000,1 days 03:51:01.000000000,3 days 15:12:19.000000000,3 days 05:03:22.000000000,0 days 07:03:06.000000000,5 days 06:27:19.000000000,14 days 03:19:25.000000000
Cleveland,2019-09-16,66958,T714 B101,9,WBPRIMER,HMOP31004,1241,806038351,1400.0,1408.71,2 days 08:50:43.000000000,0 days 09:08:20.000000000,1 days 04:01:32.000000000,3 days 09:33:37.000000000,3 days 04:57:11.000000000,3 days 15:50:39.000000000,1 days 08:43:25.000000000,12 days 01:13:34.000000000
Cleveland,2019-08-13,63929,T737 B101,9,WBPRIMER,JWPR8110,1291,806036599,2000.0,2008.89,2 days 21:53:20.000000000,1 days 10:05:55.000000000,1 days 00:29:39.000000000,4 days 00:40:06.000000000,3 days 04:52:13.000000000,2 days 21:33:47.000000000,1 days 00:33:28.000000000,11 days 17:01:44.000000000
Cleveland,2019-05-29,55276,T730 B101,9,WBPRIMER,HMOP31002,1241,806030747,3250.0,3317.6,0 days 08:25:55.000000000,0 days 16:02:45.000000000,1 days 07:36:07.000000000,3 days 09:57:32.000000000,3 days 04:42:38.000000000,0 days 22:46:13.000000000,13 days 05:41:57.000000000,22 days 16:36:45.000000000
Cleveland,2019-04-18,54601,T902 B52,Q,CLEARCOAT,JCCT1200,1291,806030374,7200.0,7425.06,0 days 10:11:56.000000000,2 days 16:48:47.000000000,0 days 09:00:09.000000000,4 days 19:05:46.000000000,3 days 04:37:18.000000000,0 days 19:23:20.000000000,0 days 20:25:07.000000000,7 days 18:57:58.000000000
